pid_integral,pid_derivative,pid_proportional,integral_sum,motor_target,gyro_offset,gyro_value,motors_enabled
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.48,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.53,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.51,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.43,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.55,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.59,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.5,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.45,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.48,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.55,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.56,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.66,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.33,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.45,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.43,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.43,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.48,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.45,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.47,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.47,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.44,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-10.43,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-42.8,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.0,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.22,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.37,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.46,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.33,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.31,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.39,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.42,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.49,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.36,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.4,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.4,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.41,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.46,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-43.4,True
